Dataset,Samples,Accuracy,Precision,Recall,F1-Score,AUC
FaceForensics++,15835,0.8449636880328386,0.9156440471353109,0.8882844528539893,0.9017567729801113,0.8794335512015278
Celeb-DF,1168,0.797945205479452,0.83,0.8691099476439791,0.8491048593350383,0.832237183142398
DFDC,781,0.9641485275288092,0.9948096885813149,0.9583333333333334,0.9762308998302207,0.990828729281768
HiDF,32215,0.8285581250970045,0.864321067355283,0.842607646719463,0.8533262514938256,0.9173109123673842
All Combined,50560,0.7678204113924051,0.8307827776765653,0.8160885256658812,0.8233700967484691,0.8428466741035616
